signal_date,ticker,name,condition_id,matched_conditions,foreign_net_buy_streak,foreign_qty,foreign_net_buy_2d_qty,foreign_net_buy_3d_qty,foreign_volume_ratio_pct,event_close,next_trading_day,next_open,next_open_return_pct,next_close,next_close_return_pct,d_plus_5_close,d_plus_5_return_pct,d_plus_10_close,d_plus_10_return_pct,d_plus_20_close,d_plus_20_return_pct,result_label,review_note
2026-04-30,254490,미래반도체,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,234838,264112,247773,9.30,23350,2026-05-04,23850,2.14,29250,25.27,,,,,,,상승 지속,"D+1(2026-05-04) 시가 +2.14%, 종가 +25.27%"
2026-04-30,046890,서울반도체,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct",2,98941,147095,-326582,0.69,16510,2026-05-04,18680,13.14,17930,8.60,,,,,,,상승 지속,"D+1(2026-05-04) 시가 +13.14%, 종가 +8.60%"
2026-05-06,005930,삼성전자,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,11842188,17057167,16216223,22.30,266000,,,,,,,,,,,,,
2026-05-06,000660,SK하이닉스,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct",2,117563,1346687,1326856,1.77,1601000,,,,,,,,,,,,,
2026-05-06,006800,미래에셋증권,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,1034032,2620939,2133289,5.00,83800,,,,,,,,,,,,,
2026-05-06,005380,현대차,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,280869,305459,-107487,16.61,550000,,,,,,,,,,,,,
2026-05-06,018880,한온시스템,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,2892350,12505371,11474772,2.11,5410,,,,,,,,,,,,,
2026-05-06,028260,삼성물산,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,97583,273670,245925,5.59,375500,,,,,,,,,,,,,
2026-05-06,006910,보성파워텍,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,1082891,2376196,2593270,2.75,15830,,,,,,,,,,,,,
2026-05-06,066570,LG전자,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,968067,1008643,1198510,24.35,154900,,,,,,,,,,,,,
2026-05-06,011790,SKC,foreign_buy_streak_7,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",7,299831,421042,425372,12.08,161200,,,,,,,,,,,,,
2026-05-06,003530,한화투자증권,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,936624,2155121,2243999,2.46,9370,,,,,,,,,,,,,
2026-05-06,086520,에코프로,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,342294,404075,116733,17.58,162800,,,,,,,,,,,,,
2026-05-06,003670,포스코퓨처엠,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,267195,359069,271224,25.33,288500,,,,,,,,,,,,,
2026-05-06,034730,SK,foreign_buy_streak_13,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",13,86239,142870,144840,15.34,520000,,,,,,,,,,,,,
2026-05-06,161580,필옵틱스,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,451548,456670,443743,9.07,63000,,,,,,,,,,,,,
2026-05-06,079550,LIG디펜스앤에어로스페이스,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,28986,44309,50381,9.61,979000,,,,,,,,,,,,,
2026-05-06,373220,LG에너지솔루션,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,52562,67990,22618,8.91,482000,,,,,,,,,,,,,
2026-05-06,064260,다날,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct",3,227086,444618,605172,0.83,8000,,,,,,,,,,,,,
2026-05-06,403870,HPSP,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct",3,44709,155925,384384,1.13,56600,,,,,,,,,,,,,
2026-05-06,247540,에코프로비엠,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,99084,312874,325318,10.17,228500,,,,,,,,,,,,,
2026-05-06,452190,한빛레이저,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,474566,525110,505181,2.19,10010,,,,,,,,,,,,,
2026-05-06,277810,레인보우로보틱스,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,17594,38372,-37790,6.56,702000,,,,,,,,,,,,,
2026-05-06,267320,나인테크,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct",2,428239,556392,472763,1.19,3940,,,,,,,,,,,,,
2026-05-06,100590,머큐리,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct",2,136885,147791,-66943,0.91,8880,,,,,,,,,,,,,
